ExScore,Attd,HrsStd,PrevSco,ParInv,Acc2Rs,TutSes,FamInc,ParEdLev,MotLev,PerInf
67,84,23,73,Low,High,0,Low,High School,Low,Positive
61,64,19,59,Low,Medium,2,Medium,College,Low,Negative
74,98,24,91,Medium,Medium,2,Medium,Postgraduate,Medium,Neutral
71,89,29,98,Low,Medium,1,Medium,High School,Medium,Negative
70,92,19,65,Medium,Medium,3,Medium,College,Medium,Neutral
71,88,19,89,Medium,Medium,3,Medium,Postgraduate,Medium,Positive
67,84,29,68,Medium,Low,1,Low,High School,Low,Neutral
66,78,25,50,Low,High,1,High,High School,Medium,Negative
69,94,17,80,Medium,High,0,Medium,College,High,Neutral
72,98,23,71,Medium,Medium,0,High,High School,Medium,Positive
68,80,17,88,Low,High,4,Medium,College,Medium,Neutral
71,97,17,87,Medium,High,2,Low,High School,Low,Neutral
70,83,21,97,Medium,Medium,2,Medium,High School,Low,Positive
66,82,9,72,Medium,Medium,2,Medium,Postgraduate,Medium,Positive
65,78,10,74,Medium,High,1,Low,Postgraduate,Medium,Neutral
64,68,17,70,Medium,Medium,2,Medium,High School,Medium,Positive
60,60,14,65,Medium,Low,0,High,College,Low,Positive
65,70,22,82,Low,Medium,1,Low,High School,Medium,Neutral
67,80,15,91,Medium,Medium,3,Low,College,Low,Positive
66,75,12,58,Medium,High,3,Medium,College,Medium,Positive
69,78,29,99,Medium,Medium,0,High,High School,High,Negative
72,99,19,84,Medium,High,1,Medium,High School,Medium,Neutral
66,74,20,89,Medium,High,1,Medium,College,Low,Negative
66,78,11,100,High,Medium,1,Low,High School,High,Neutral
63,65,17,75,Low,High,2,Low,High School,Medium,Positive
64,62,21,54,High,Low,0,High,Postgraduate,High,Positive
65,91,13,90,Low,Medium,1,High,High School,Medium,Negative
71,83,22,94,High,High,0,High,College,Medium,Neutral
66,90,16,58,Medium,Medium,1,Low,High School,Medium,Neutral
64,66,18,51,High,High,2,Low,College,Low,Neutral
63,83,16,57,Low,Medium,0,High,High School,Medium,Positive
69,70,31,66,Medium,High,1,High,College,Medium,Negative
67,69,20,96,Medium,Medium,2,Medium,High School,Medium,Positive
68,65,25,90,High,Medium,2,Medium,College,Medium,Positive
61,72,13,93,Low,Medium,1,Low,High School,Low,Negative
64,65,21,91,Medium,Low,2,Medium,High School,Low,Positive
67,99,8,54,Medium,Medium,2,Low,Postgraduate,Low,Neutral
63,72,12,84,Low,Medium,1,Low,High School,Medium,Positive
64,65,21,98,Low,Medium,1,Medium,High School,Low,Negative
67,68,24,56,High,Medium,3,High,College,Low,Neutral
65,84,21,52,Medium,Medium,1,Medium,College,Low,Neutral
64,63,19,94,Low,High,1,Medium,High School,Medium,Positive
70,94,18,82,Medium,High,3,Medium,College,Medium,Negative
68,98,11,82,Medium,Medium,1,Medium,Postgraduate,Low,Positive
65,70,16,98,Medium,Medium,2,Medium,High School,Medium,Positive
68,78,17,88,Medium,Medium,1,Medium,College,Medium,Positive
64,61,26,70,Medium,Low,2,Low,High School,Medium,Positive
68,86,22,72,Low,Medium,3,Low,High School,Low,Positive
63,77,9,57,Medium,Medium,2,Medium,High School,Medium,Neutral
64,71,22,65,Low,Medium,1,Medium,College,Low,Positive
64,68,18,72,High,Medium,0,Medium,College,Medium,Neutral
67,86,16,63,Low,Medium,2,Medium,High School,Medium,Positive
67,77,24,96,High,Low,0,Medium,High School,Medium,Neutral
66,67,26,51,Medium,High,2,High,Postgraduate,Low,Neutral
72,88,26,79,Medium,High,1,Low,College,Medium,Positive
65,83,15,89,Medium,High,1,Medium,High School,Low,Neutral
71,94,18,87,Medium,Medium,1,Medium,High School,High,Positive
66,65,22,82,High,Low,2,Medium,Postgraduate,Medium,Positive
68,91,26,71,Medium,Low,0,Low,High School,Medium,Neutral
70,87,17,96,Medium,Medium,1,High,Postgraduate,Medium,Negative
62,65,19,66,Medium,Medium,0,Low,High School,Low,Positive
68,88,13,88,Low,High,2,Low,Postgraduate,High,Negative
67,78,13,96,Medium,High,2,Low,College,High,Neutral
71,98,25,56,Low,High,0,Medium,Postgraduate,Medium,Neutral
68,66,28,97,Medium,High,0,Medium,High School,Medium,Neutral
69,86,20,89,Medium,Medium,1,Low,Postgraduate,Medium,Negative
70,75,26,81,Low,High,3,Medium,High School,High,Positive
69,98,22,69,Medium,High,1,Low,High School,Low,Negative
65,73,16,95,Medium,Medium,1,Low,College,Medium,Negative
70,98,22,52,Medium,Low,3,Medium,College,Medium,Positive
71,96,29,72,Medium,Low,1,Low,High School,Medium,Positive
65,71,20,88,Medium,Medium,1,Low,College,Medium,Neutral
72,92,29,91,Low,Medium,2,Medium,Postgraduate,Medium,Negative
69,100,4,60,High,High,0,Medium,College,High,Positive
66,70,25,52,Medium,Medium,1,Medium,Postgraduate,Medium,Positive
68,77,21,90,Low,Medium,4,Medium,Postgraduate,Medium,Neutral
65,81,18,71,High,Low,0,Medium,High School,Medium,Neutral
64,72,21,57,Medium,Medium,1,High,College,Medium,Neutral
60,61,8,54,Medium,Medium,1,High,College,Medium,Positive
65,69,19,82,Medium,High,1,Low,High School,High,Negative
66,71,22,79,High,Medium,1,Low,High School,High,Positive
74,78,29,93,High,High,5,Medium,College,Low,Neutral
62,67,17,52,Medium,Medium,2,Medium,High School,High,Negative
70,95,15,93,Medium,Medium,2,Low,College,Medium,Positive
69,88,17,94,Medium,High,0,Medium,High School,Low,Neutral
67,63,25,72,Medium,High,3,Medium,College,Medium,Negative
64,86,22,54,Low,Low,2,Medium,High School,Medium,Neutral
71,86,17,97,Medium,High,3,High,College,High,Neutral
68,98,23,54,Medium,Low,0,Medium,College,Low,Negative
64,60,21,80,High,Medium,0,Medium,College,Medium,Neutral
63,70,26,75,Medium,Low,1,Medium,High School,Medium,Neutral
71,97,16,92,Medium,Medium,0,High,College,Low,Positive
69,97,18,75,High,Medium,0,Low,High School,Low,Positive
100,89,18,73,High,Medium,3,High,College,Medium,Positive
68,91,11,94,Medium,Medium,3,Medium,College,Medium,Neutral
62,64,22,98,Low,Medium,1,Medium,High School,Low,Negative
68,81,22,77,Medium,Medium,2,Medium,Postgraduate,Low,Positive
66,69,20,73,High,High,2,Low,High School,Medium,Positive
64,67,19,92,Low,Medium,0,Medium,College,High,Positive
67,92,12,92,Medium,Medium,2,Medium,High School,High,Neutral
65,65,17,66,Medium,High,1,High,Postgraduate,Medium,Neutral
65,79,18,79,Medium,Medium,0,Low,College,Medium,Neutral
69,98,15,58,High,Medium,0,Low,College,High,Positive
63,67,19,82,Medium,Medium,1,Low,High School,High,Negative
72,99,22,92,Medium,Low,3,Medium,Postgraduate,Low,Negative
76,100,31,59,Medium,Medium,2,High,Postgraduate,Medium,Positive
69,82,21,66,Medium,High,3,Low,College,High,Positive
67,67,22,72,Medium,Medium,3,Low,Postgraduate,High,Positive
69,73,20,92,High,Medium,2,Medium,College,Medium,Positive
63,77,8,87,High,Medium,0,Low,High School,Medium,Neutral
67,72,20,66,Medium,Medium,3,Low,Postgraduate,Medium,Positive
66,71,20,62,Low,High,2,Medium,College,High,Negative
79,99,35,85,High,High,2,Medium,Postgraduate,Low,Neutral
64,66,19,74,Medium,Medium,1,High,High School,Medium,Neutral
73,89,22,80,High,High,1,High,High School,Medium,Positive
63,60,20,82,Low,High,2,Low,High School,High,Positive
65,84,13,78,Medium,Medium,1,Low,High School,Medium,Positive
73,97,27,81,Low,High,0,High,High School,Medium,Positive
70,72,25,94,High,High,2,Low,College,Low,Positive
68,67,25,93,High,Medium,2,Low,High School,High,Positive
65,86,15,57,Medium,Medium,1,Medium,College,Medium,Negative
71,89,28,79,Low,High,0,Low,College,High,Positive
64,88,12,72,Low,Medium,2,Medium,College,Low,Positive
68,73,24,64,Medium,High,4,High,College,Medium,Neutral
69,70,33,82,Medium,Medium,1,Low,College,Low,Neutral
69,98,14,76,Medium,Medium,0,Medium,College,Medium,Positive
67,78,21,55,Medium,Medium,1,High,College,Medium,Positive
68,94,17,65,Low,Medium,4,Medium,High School,Low,Neutral
64,78,11,51,Medium,High,2,Low,Postgraduate,Medium,Neutral
66,77,20,87,Medium,Medium,0,Low,High School,Low,Positive
63,66,14,96,High,Low,3,Low,High School,Medium,Negative
