ExScore,Attd,HrsStd,PrevSco,ParInv,Acc2Rs,TutSes,FamInc,ParEdLev,MotLev,PerInf
67,84,23,73,1,3,0,1,1,1,3
61,64,19,59,1,2,2,2,2,1,1
74,98,24,91,2,2,2,2,3,2,2
71,89,29,98,1,2,1,2,1,2,1
70,92,19,65,2,2,3,2,2,2,2
71,88,19,89,2,2,3,2,3,2,3
67,84,29,68,2,1,1,1,1,1,2
66,78,25,50,1,3,1,3,1,2,1
69,94,17,80,2,3,0,2,2,3,2
72,98,23,71,2,2,0,3,1,2,3
68,80,17,88,1,3,4,2,2,2,2
71,97,17,87,2,3,2,1,1,1,2
70,83,21,97,2,2,2,2,1,1,3
66,82,9,72,2,2,2,2,3,2,3
65,78,10,74,2,3,1,1,3,2,2
64,68,17,70,2,2,2,2,1,2,3
60,60,14,65,2,1,0,3,2,1,3
65,70,22,82,1,2,1,1,1,2,2
67,80,15,91,2,2,3,1,2,1,3
66,75,12,58,2,3,3,2,2,2,3
69,78,29,99,2,2,0,3,1,3,1
72,99,19,84,2,3,1,2,1,2,2
66,74,20,89,2,3,1,2,2,1,1
66,78,11,100,3,2,1,1,1,3,2
63,65,17,75,1,3,2,1,1,2,3
64,62,21,54,3,1,0,3,3,3,3
65,91,13,90,1,2,1,3,1,2,1
71,83,22,94,3,3,0,3,2,2,2
66,90,16,58,2,2,1,1,1,2,2
64,66,18,51,3,3,2,1,2,1,2
63,83,16,57,1,2,0,3,1,2,3
69,70,31,66,2,3,1,3,2,2,1
67,69,20,96,2,2,2,2,1,2,3
68,65,25,90,3,2,2,2,2,2,3
61,72,13,93,1,2,1,1,1,1,1
64,65,21,91,2,1,2,2,1,1,3
67,99,8,54,2,2,2,1,3,1,2
63,72,12,84,1,2,1,1,1,2,3
64,65,21,98,1,2,1,2,1,1,1
67,68,24,56,3,2,3,3,2,1,2
65,84,21,52,2,2,1,2,2,1,2
64,63,19,94,1,3,1,2,1,2,3
70,94,18,82,2,3,3,2,2,2,1
68,98,11,82,2,2,1,2,3,1,3
65,70,16,98,2,2,2,2,1,2,3
68,78,17,88,2,2,1,2,2,2,3
64,61,26,70,2,1,2,1,1,2,3
68,86,22,72,1,2,3,1,1,1,3
63,77,9,57,2,2,2,2,1,2,2
64,71,22,65,1,2,1,2,2,1,3
64,68,18,72,3,2,0,2,2,2,2
67,86,16,63,1,2,2,2,1,2,3
67,77,24,96,3,1,0,2,1,2,2
66,67,26,51,2,3,2,3,3,1,2
72,88,26,79,2,3,1,1,2,2,3
65,83,15,89,2,3,1,2,1,1,2
71,94,18,87,2,2,1,2,1,3,3
66,65,22,82,3,1,2,2,3,2,3
68,91,26,71,2,1,0,1,1,2,2
70,87,17,96,2,2,1,3,3,2,1
62,65,19,66,2,2,0,1,1,1,3
68,88,13,88,1,3,2,1,3,3,1
67,78,13,96,2,3,2,1,2,3,2
71,98,25,56,1,3,0,2,3,2,2
68,66,28,97,2,3,0,2,1,2,2
69,86,20,89,2,2,1,1,3,2,1
70,75,26,81,1,3,3,2,1,3,3
69,98,22,69,2,3,1,1,1,1,1
65,73,16,95,2,2,1,1,2,2,1
70,98,22,52,2,1,3,2,2,2,3
71,96,29,72,2,1,1,1,1,2,3
65,71,20,88,2,2,1,1,2,2,2
72,92,29,91,1,2,2,2,3,2,1
69,100,4,60,3,3,0,2,2,3,3
66,70,25,52,2,2,1,2,3,2,3
68,77,21,90,1,2,4,2,3,2,2
65,81,18,71,3,1,0,2,1,2,2
64,72,21,57,2,2,1,3,2,2,2
60,61,8,54,2,2,1,3,2,2,3
65,69,19,82,2,3,1,1,1,3,1
66,71,22,79,3,2,1,1,1,3,3
74,78,29,93,3,3,5,2,2,1,2
62,67,17,52,2,2,2,2,1,3,1
70,95,15,93,2,2,2,1,2,2,3
69,88,17,94,2,3,0,2,1,1,2
67,63,25,72,2,3,3,2,2,2,1
64,86,22,54,1,1,2,2,1,2,2
71,86,17,97,2,3,3,3,2,3,2
68,98,23,54,2,1,0,2,2,1,1
64,60,21,80,3,2,0,2,2,2,2
63,70,26,75,2,1,1,2,1,2,2
71,97,16,92,2,2,0,3,2,1,3
69,97,18,75,3,2,0,1,1,1,3
100,89,18,73,3,2,3,3,2,2,3
68,91,11,94,2,2,3,2,2,2,2
62,64,22,98,1,2,1,2,1,1,1
68,81,22,77,2,2,2,2,3,1,3
66,69,20,73,3,3,2,1,1,2,3
64,67,19,92,1,2,0,2,2,3,3
